comuna,Poblacion 2025,nombre_comuna,sum,presupuesto_persona
16109,18882,Yungay,4785843714.0,253461.0
16201,12244,Quirihue,1042426381.0,85138.0
16202,5211,Cobquecura,1963189263.0,376739.0
16203,16906,Coelemu,4485313848.0,265309.0
16204,5337,Ninhue,2622503596.0,491382.0
16205,4859,Portezuelo,1017131986.0,209329.0
16206,6294,Ranquil,2856122259.0,453785.0
16207,5779,Trehuaco,892047710.0,154360.0
16301,57222,San Carlos,6907989671.0,120723.0
16302,29222,Coihueco,5955724522.0,203810.0
16303,11512,Ñiquén,3651040078.0,317151.0
16304,4823,San Fabián,1017689669.0,211008.0
16305,12556,San Nicolás,2564032959.0,204208.0
